Title,Price_pesos,Barangay,Municipality,Seller,Number_Bedrooms,Floor_sqm,Land_sqm,Latitude,Longitude
3 Bedroom House and Lot for sale in Calamba at Southdale Settings (Trista),10998000,Laguerta,Calamba,Property Pro Philippines,3,85,148,121.0965228,14.1752954
3 Bedroom House and Lot for sale in Calamba at Southdale Settings (Macy),9646000,Laguerta,Calamba,Property Pro Philippines,3,67,128,121.0965228,14.1752954
"2 Bedrooms Townhouse with Spacious Area for Sale in San Pablo, Laguna",1460840,Santa Monica,San Pablo,Noriel Untalan,2,44,54,121.3011068,14.0551969
"2 Bedrooms Townhouse with Spacious Area for Sale in San Pablo, Laguna",1106000,Santa Monica,San Pablo,Noriel Untalan,2,44,36,121.3011068,14.0551969
"4 Bedroom House and Lot for sale at Venare, Nuvali, Calamba",35000000,Canlubang,Calamba,Courtney Alimon,4,320,264,121.0533622,14.1857173
Hana Garden Villas by Chan Toei (3 mins to Xavier Nuvali) for Sale,23540000,Pittland,Cabuyao,Eleonor Tycangco,,,,121.0721529,14.2220299
"Calamba Laguna House Resort For Sale, Negotiable",17000000,Pansol,Calamba,John Carter,5,400,425,121.1840111,14.178416
"4 BR House & Lot for Sale at South Breeze in San Francisco, Laguna (Elise)",9070000,San Francisco,Biñan,Property Pro Philippines,4,134,180,121.0555577,14.3336384
"3 BR House and Lot for Sale at South Breeze in Biñan, Laguna (Jasmine)",6170000,San Francisco,Biñan,Property Pro Philippines,3,80,136,121.0555577,14.3336384
"2 Storey Corner House and Lot for Sale in Pulo, Cabuyao, Laguna",28000000,Pulo,Cabuyao,Jennifer Medina,5,550,386,121.1322063,14.2465882
RUSH! HOT SPRING LOT for Sale In Laguna Philippines,2300000,Pansol,Calamba,Philippine Property,,,150,121.1840111,14.178416
"Multipod Townhouse For Sale in Amaia Scapes Laguna, Calamba, Laguna",4200000,Barandal,Calamba,Crispin Fernandez,6,220,220,121.129069,14.195385
"For Sale: Brand New Colonial-Style House in Verdana Homes Mamplasan, Laguna",,Langkiwa,Biñan,Upside Philippines Inc.,3,250,202,121.0617653,14.2968418
"4 BR House and Lot for Sale at South Breeze in Biñan, Laguna (Federique)",13070000,San Francisco,Biñan,Property Pro Philippines,4,147,304,121.0555577,14.3336384
"Mirala Nuvali 6 Bedrooms Modern Contemporary House For Sale, Calamba, Laguna",35000000,Canlubang,Calamba,Mitor Alipio,6,400,367,121.0533622,14.1857173
For Sale 3+1 Bedroom House with Swimming Pool - Verdana Mamplasan,15500000,Langkiwa,Biñan,john dennis,3,200,240,121.0617653,14.2968418
"House and Lot for Sale in Santa Rosa Estates 2, Nuvali, Santa Rosa Laguna",18000000,Don Jose,Santa Rosa,Prime Real Estate Investment,3,200,183,121.0735873,14.2615584
"For Sale 4 Bedroom House at Mirala Nuvali, Calamba, Laguna",32000000,Canlubang,Calamba,Mitor Alipio,4,323,364,121.0533622,14.1857173
2-storey 2 Bedrooms Affordable Pag-ibig House Sale Highway Granary Biñan Laguna,2850000,San Antonio,Biñan,Mhel Solomon,2,48,45,121.0895615,14.3355937
Rush Resale House and Lot In Nuvali Below Market Price Avida Woodhill Settings,6800000,Canlubang,Calamba,Mona Lissa LLamoso,2,52,130,121.0533622,14.1857173
"Private Hot Spring Resort in Los Baños, Laguna - Corner lot",28500000,Lalakay,Los Baños,"PhilRealty Global Marketing, Inc",5,300,321,121.2067078,14.1701347
"Ready for Occupancy / For sale in Laguna, Philippines",4534905,San Benito,Alaminos,Maricel Lualhati,3,95,89,121.2799644,14.0571169
"For Sale House and Lot at Solen Residences Greenfield City, Santa Rosa, Laguna",45000000,Don Jose,Santa Rosa,CHEL AQUINO,4,290,327,121.0735873,14.2615584
"4 Bedroom House and Lot for Sale in Mirala Nuvali, Calamba, Laguna",32000000,Canlubang,Calamba,Jackson Lim,4,323,364,121.06833,14.20202
"For Sale 3 Storey House Brand New Asian Modern inspired South Forbes, Santa Rosa",33000000,Don Jose,Santa Rosa,Shimaski Valente,4,325,276,121.0735873,14.2615584
"For Sale 3BR Townhouse at AMAIA Series Nuvali, Calamba, Laguna (Ayala Land)",4000000,Canlubang,Calamba,Marisa Alfara,3,51,50,121.0533622,14.1857173
"5M 2BR Townhouse Unit For Sale in Biñan, Laguna near Southwoods Mall",8324211,San Francisco,Biñan,Emolyn Mariquita Solamo,3,84,67,121.0555577,14.3336384
2 Bedroom Single Attached Unit for Sale at The Granary in Laguna,2950000,San Antonio,Biñan,Property Pro Philippines,2,43,43,121.0895615,14.3355937
"Preselling 2-Storey Townhouse for Sale in San Pablo, Laguna",1800000,San Ignacio,San Pablo,Josephine Garcia,2,40,44,121.3477927,14.0568397
2 Bedroom Townhouse Unit at Olivarez Homes Southwoods (Pearl),4649500,San Vicente,San Pedro,Property Pro Philippines,2,71,60,121.0535937,14.3494688
3 Bedroom House and Lot Unit at Southview Homes Calendola,5973303,Calendola,San Pedro,Property Pro Philippines,3,76,70,121.0352846,14.3410633
2 Bedroom House and Lot Unit at Southview Homes Calendola,5131698,Calendola,San Pedro,Property Pro Philippines,2,61,70,121.0352846,14.3410633
3 Bedroom House and Lot (Unna Regular) at Phirst Park Homes Calamba,4740606,Palo-Alto,Calamba,Property Pro Philippines,3,54,96,121.113605,14.191945
Treveia Nuvali House And Lot For Sale,32000000,Canlubang,Calamba,Mitor Alipio,4,302,250,121.0533622,14.1857173
RFO 3BR Single Attached House For Sale in Sentrina Alaminos Laguna-ARRA Model,4816457,San Benito,Alaminos,Paul Taburada,3,95,89,121.2799644,14.0571169
"For Sale Venare Nuvali Brand New House and Lot in Calamba, Laguna",30000000,Canlubang,Calamba,Mitor Alipio,4,310,243,121.0533622,14.1857173
House and lot near NUVALI and CALAX. 3BR with Balcony and Garage,9427243,Pittland,Cabuyao,Darlito Chan,3,120,138,121.0721529,14.2220299
"6-BR Brand New Modern Contemporary House in Mirala Nuvali, Calamba",45000000,Canlubang,Calamba,Mitor Alipio,6,442,448,121.0533622,14.1857173
"Modern Design House & Lot for Sale in Mondo Bambini, Biñan, Laguna",11500000,Biñan,Biñan,Stephanie Halili,3,118,90,121.0539924,14.2703263
"3 Bedroom Duplex Unit for sale at Santevi in San Pablo, Laguna",3400000,San Vicente,San Pablo,Property Pro Philippines,3,66,80,121.340728,14.0256013
"3 Bedroom House and Lot for Sale in San Jose Village 2, Biñan, Laguna",3850000,Biñan,Biñan,Gfiliojr Gfiliojr,3,72,150,121.0539924,14.2703263
"3 Bedroom Townhouse Unit for sale at Santevi in San Pablo, Laguna",2600000,San Vicente,San Pablo,Property Pro Philippines,3,54,50,121.340728,14.0256013
"4 Bedroom House and Lot at The BelleCourt in Santa Rosa, Laguna (Premier Unit)",8329480,Balibago,Santa Rosa,Property Pro Philippines,4,98,100,121.10166,14.294425
"4 Bedroom Single Attached Unit for sale at Santevi in San Pablo, Laguna",3700000,San Vicente,San Pablo,Property Pro Philippines,4,85,74,121.340728,14.0256013
2 Bedroom Townhouse for sale in Idesia Cabuyao (Yama),3095106,Marinig,Cabuyao,Property Pro Philippines,2,42,50,121.152656,14.2696017
2 Bedroom House and Lot for sale in Idesia Cabuyao (Sora),5492209,Marinig,Cabuyao,Property Pro Philippines,2,52,104,121.152656,14.2696017
"3 Bedroom House and Lot For Sale in Southdale Nuvali, Laguna, Preselling",10762500,Canlubang,Calamba,CJ ARCE,3,85,138,121.0533622,14.1857173
"Georgia Club Country-style House w/ Attic for sale in Santa Rosa, Laguna!",29000000,Don Jose,Santa Rosa,Maria Luisa Alversado,7,720,420,121.0735873,14.2615584
"For Sale: 4 Bedroom House and Lot in Villagio di Xavier, Biñan, Laguna",8700000,Mampalasan,Biñan,Stephanie Halili,4,100,140,121.0810444,14.2923053
Ready For Occupancy 2BR 1T&B Townhouse in San Pablo Laguna,2300000,San Ignacio,San Pablo,Josephine Garcia,2,40,60,121.3477927,14.0568397
AVIDA VILLAGE CERISE NUVALI Newly-Renovated House for Starting Family FOR SALE!,5000000,Canlubang,Calamba,Maria Luisa Alversado,2,60,110,121.0878,14.1951
Affordable yet elegant House with Mt. Makiling view For Sale at Calamba Laguna,8251504,Punta,Calamba,Marlene Bacarro Velasquez,4,149,176,121.122173,14.176345
Ready for Occupancy Single Attached House and Lot in San Pablo,5000000,San Ignacio,San Pablo,Josephine Garcia,3,54,110,121.3477927,14.0568397
"2 Bedroom House for Sale in San Pedro, Laguna - Southview Homes",4900000,San Vicente,San Pedro,Angie REB Ph,2,61,70,121.0535937,14.3494688
"3 Bedroom House for Sale in San Pedro, Laguna - Southview Homes",5500000,San Vicente,San Pedro,Angie REB Ph,3,76,70,121.0535937,14.3494688
"Nuvali Treveia House and Lot with 4BR for Sale in Canlubang, Calamba, Laguna",32000000,Canlubang,Calamba,Raffy Santos,4,302,250,121.0533622,14.1857173
"3 Bedroom House and Lot at The BelleCourt in Santa Rosa, Laguna (Special Unit)",6423000,Balibago,Santa Rosa,Property Pro Philippines,3,100,72,121.10166,14.294425
House for Sale in Avina Model At Sentrina Alaminos Laguna,4307299,San Benito,Alaminos,Arlene Manalang,3,85,89,121.212339,13.93679
